epoch,accuracy,loss,val_accuracy,val_loss
0,0.48002663254737854,1.1915338039398193,0.42790699005126953,1.2429919242858887
1,0.5832223892211914,0.9738300442695618,0.45891472697257996,1.1843270063400269
2,0.6564580798149109,0.8644245266914368,0.5069767236709595,1.1166815757751465
3,0.7283622026443481,0.7533200979232788,0.5286821722984314,1.0719290971755981
4,0.793608546257019,0.6457126140594482,0.551937997341156,1.046150803565979
5,0.8508654832839966,0.5327147841453552,0.5612403154373169,1.0426803827285767
6,0.9121171832084656,0.42511263489723206,0.5674418807029724,1.021550178527832
7,0.9527297019958496,0.33946964144706726,0.5844961404800415,1.0335464477539062
8,0.9800266027450562,0.25891104340553284,0.565891444683075,1.0330232381820679
9,0.9913448691368103,0.19040873646736145,0.5720930099487305,1.057536244392395
10,0.9973368644714355,0.13774073123931885,0.5705426335334778,1.1039305925369263
11,0.9986684322357178,0.10973047465085983,0.5705426335334778,1.1279910802841187
0,0.48468708992004395,1.1963136196136475,0.4062015414237976,1.255671739578247
1,0.580559253692627,0.9911120533943176,0.44341084361076355,1.1832835674285889
2,0.631824254989624,0.8829963207244873,0.48372092843055725,1.1272242069244385
3,0.7117177248001099,0.7712491750717163,0.5472868084907532,1.061475396156311
4,0.7862849831581116,0.6671451926231384,0.5364341139793396,1.051783800125122
5,0.8455392718315125,0.5655174255371094,0.5612403154373169,1.0257847309112549
6,0.9027962684631348,0.4580512046813965,0.5612403154373169,1.0242105722427368
7,0.9467377066612244,0.36468619108200073,0.5643410682678223,1.0238051414489746
8,0.9780293107032776,0.2769872844219208,0.5612403154373169,1.0566078424453735
9,0.9913448691368103,0.20951637625694275,0.565891444683075,1.0641676187515259
10,0.9933422207832336,0.1591413915157318,0.5689922571182251,1.110519528388977
11,0.9986684322357178,0.11516230553388596,0.5736433863639832,1.129203200340271
12,0.9986684322357178,0.08709538727998734,0.5705426335334778,1.146901249885559
0,0.4567243754863739,1.215245246887207,0.421705424785614,1.227256178855896
1,0.5778961181640625,1.0011603832244873,0.44961240887641907,1.167637586593628
2,0.6304926872253418,0.8870438933372498,0.5224806070327759,1.0912045240402222
3,0.6997336745262146,0.7819290161132812,0.5426356792449951,1.0522959232330322
4,0.7609853744506836,0.6795518398284912,0.5720930099487305,1.0228976011276245
5,0.8308921456336975,0.5744724273681641,0.5798449516296387,1.0127601623535156
6,0.893475353717804,0.4679577946662903,0.5844961404800415,1.008995771408081
